Label,B2_Blue,B3_Green,B4_Red,B8_NIR,B11_SWIR1,B12_SWIR2,NDVI,NDWI,EVI,SAVI,Elevation,Slope,Aspect,Annual_Rainfall,LST_Celsius,Longitude,Latitude
1,672.0,942.1428571428571,1156.294642857143,2782.25,2045.75,1519.25,0.41283152,-0.494069,0.8683770318573876,0.6191686707935435,1008,1,0,306.9303535223007,28.0866666666667,32.88682847820942,37.64556386430417
1,456.6666666666667,684.25,890.0,2981.0,1714.0,1129.6666666666667,0.5401705,-0.62662846,1.067490300183786,0.8101511042231693,1009,1,52,300.10637974739075,27.823333333333323,32.849638225446874,37.62589075958196
1,800.6666666666666,1166.0,1265.0,3771.0,2260.0,1675.6666666666667,0.49761716,-0.5276484,1.1694978532760874,0.7463516330785267,1009,4,18,294.7953097820282,27.450000000000045,32.803824145956774,37.59624635520601
1,666.5714285714286,1071.6,1365.75,2451.0,2200.5,1754.3333333333333,0.28433877,-0.39158577,0.480435992461517,0.42645228895147025,1010,3,337,294.7953097820282,27.9883333333334,32.81514291853668,37.569835885852896
1,871.9,1121.3333333333333,1318.142857142857,3085.0,2637.714285714286,2056.3333333333335,0.40127182,-0.46683574,0.9913672178715423,0.6018393862224457,1007,2,148,314.44958823919296,27.585000000000036,32.88925392947654,37.59786332271742
1,865.6666666666666,1160.0,1288.0,3422.0,2467.0,1900.0,0.45307857,-0.49367088,1.1452184179456906,0.67954569578601,1007,1,128,330.37907510995865,28.31400000000002,32.90784905585782,37.577651228824735
1,621.0,1009.0,1147.6666666666667,3450.0,2278.6666666666665,1580.0,0.5007613,-0.5474322,1.0134401502479677,0.7510602051542281,1004,3,308,330.37907510995865,27.856666666666683,32.92698317140956,37.56660195083007
1,997.2,1322.1818181818182,1572.2857142857142,2817.0,2422.25,1966.0,0.28358015,-0.36113855,0.6519949714148882,0.4253217696926307,1003,1,232,346.90719270706177,27.92500000000001,32.95042920032508,37.549084802789736
1,1051.6923076923076,1309.2307692307693,1559.5,2649.8,2707.6666666666665,2112.5,0.2590217,-0.33861047,0.6615725130411081,0.38848638890208564,1001,1,90,346.90719270706177,28.620000000000005,32.99327883937758,37.5450423840112
1,731.0,984.7777777777778,1172.7777777777778,3175.0,2325.0,1648.5,0.4605162,-0.5265238,1.0582197009736558,0.6906949111397872,1000,1,128,327.4719817042351,29.403333333333364,32.99893822566754,37.58708353930799
